PMID,Node1,Node1_Type,Relationship,Node2,Node2_Type,Description
30104241,Paclitaxel,phsu,TREATS,Ovarian Carcinoma,neop,Gene expression analysis of tumor samples from patients with ovarian cancer before and after treatment with paclitaxel detected an enrichment of genes linked to the M1 macrophage activation profile (IFNgamma-stimulated macrophages).
30129640,Malignant Neoplasms,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,"Given that the presence of tumor infiltrating lymphocytes is associated with prognosis and ovarian cancer is among the first cancers with an established association of immune cell infiltration, identification of the immune microenvironment in ovarian cancer is thought to be promising."
30207101,inhibitors,chvf,TREATS,Ovarian Carcinoma,neop,"It presents current data on nivolumab and other checkpoint-inhibitors in solid tumors and OC specifically and depicts important topics in the management of this novel substance group, such as side effect control, diagnostic PD-1/programmed cell death-ligand 1 (PD-L1) expression assessment and management of pseudoprogression."
30540933,inhibitors,chvf,TREATS,Ovarian Carcinoma,neop,PARP inhibitors have shown promising clinical activities for patients with BRCA mutations and are changing the landscape of ovarian cancer treatment.
31214202,inhibitors,chvf,TREATS,Ovarian Carcinoma,neop,"Despite the prognostic impact of TILs, response to checkpoint-inhibitors and antigen-specific active immunotherapy is limited in ovarian cancer."
30253459,Hysterectomy,topp,TREATS,Ovarian Carcinoma,neop,"The present report describes a 45-year-old woman with ovarian cancer who underwent hysterectomy, bilateral salpingo-oophorectomy, pelvic lymphadenectomy, para-aortic lymphadenectomy, and omentectomy."
30377203,"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human",gngm,PREDISPOSES,Ovarian Carcinoma,neop,Anti-Inflammatory Drug Use and Ovarian Cancer Risk by COX1/COX2 Expression and Infiltration of Tumor-Associated Macrophages.
30421056,Lymph Node Dissection,topp,TREATS,Ovarian Carcinoma,neop,ASO Author Reflections: Systematic Lymph Node Dissection in Ovarian Cancer Under Attack.
30487062,MicroRNAs,bacs,ASSOCIATED_WITH,Ovarian Carcinoma,neop,Exosomal miRNA confers chemo resistance via targeting Cav1/p-gp/M2-type macrophage axis in ovarian cancer.
30646963,Genistein,bacs,ASSOCIATED_WITH,Ovarian Carcinoma,neop,This assisted GEN to be as a potential chemotherapeutic agent in human ovarian cancer.
30658847,cytokine,aapp,DISRUPTS,Ovarian Carcinoma,neop,RESULTS: CIML NK cells demonstrate enhanced cytokine (IFN-gamma) production and NK-cell-mediated killing of ovarian cancer.
31755326,cytokine,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"The objectives of the study were to analyze the dosage of a cytokine panel (IL2, IL5, IL6, IL8, IL10, and TNF-alpha) in the peritoneal fluid and relate the dosage of these cytokines to prognostic para- meters and survival in ovarian cancer."
30933545,Solid tumor,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,"With significant promises in melanoma and other solid tumors, ICPIs have also been evaluated in ovarian cancer (OC)."
31038546,Apoptosis,celf,PROCESS_OF,Ovarian Carcinoma,neop,"Artesunate promoted Th1 differentiation from CD4+ T cells by down-regulating Sirt1 through miR-142, thereby enhancing cell apoptosis in ovarian cancer."
31049770,Interleukin-6,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,MiR-217 Inhibits M2-Like Macrophage Polarization by Suppressing Secretion of Interleukin-6 in Ovarian Cancer.
31533774,Interleukin-6,aapp,ASSOCIATED_WITH,Ovarian Carcinoma,neop,METHODS: Positive expression of PD-L1 and IL-6 was determined using immunohistochemical staining in the collected OC and normal tissues.
31088836,Ovarian Carcinoma,neop,PROCESS_OF,Mus,mamm,DFMO and 5-Azacytidine Increase M1 Macrophages in the Tumor Microenvironment of Murine Ovarian Cancer.
31124639,Sentinel Lymph Node Mapping,diap,DIAGNOSES,Ovarian Carcinoma,neop,CONCLUSIONS: This review shows that evidence on SLNm in EOC is still scant.
31474589,Sentinel Lymph Node Mapping,diap,DIAGNOSES,Ovarian Carcinoma,neop,"Data detailing feasibility and outcomes of sentinel lymph node mapping in ovarian cancer are scarce.To summarize the studies evaluating the feasibility of sentinel lymph node detection from the ovary, examining the technique and detection rate.A systematic search of the literature was performed using PubMed and Embase from June 1991 to February 2019."
31474589,Sentinel Lymph Node Mapping,diap,DIAGNOSES,Ovarian Carcinoma,neop,"A variety of agents were used, but the primary markers were technetium-99m radiocolloid (Tc-99m), patent blue, or indocyanine green, and the most common injection site was the ovarian ligaments.The overall sentinel lymph node detection rate was 90.3%.We propose a standardized technique sentinel lymph node mapping in ovarian cancer, using indocyanine green, or Tc-99m and blue dye as alternative tracers, injected in both the suspensory and the infundibulopelvic ligament of the ovary."
31298603,CD4 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"The objectives of the study were to evaluate the expression of CD3, CD4, CD8 and CD20 in the peritumoral stroma of benign and malignant ovarian epithelial neoplasms and to relate them to prognostic factors in ovarian cancer."
31298603,CD8B1 gene,gngm,ASSOCIATED_WITH,Ovarian Carcinoma,neop,"The objectives of the study were to evaluate the expression of CD3, CD4, CD8 and CD20 in the peritumoral stroma of benign and malignant ovarian epithelial neoplasms and to relate them to prognostic factors in ovarian cancer."
31305893,Talc,inch,TREATS,Ovarian Carcinoma,neop,"Finding talc in pelvic tissues in women with ovarian carcinoma who have used talc is important in documenting exposure and assessing talc's biologic potential, but tissue-based morphology studies have been rarely reported."
31362125,Cytoreductive surgery,topp,TREATS,Ovarian Carcinoma,neop,Survival outcomes of ovarian cancer patients treated with secondary cytoreductive surgery for isolated lymph node recurrence: A systematic review of the literature.
